Horodatage,Essai_ID,X_Voulu,Y_Voulu,Theta1_Cible,Theta4_Cible,Correction_M1,Correction_M2,X_Encodeur,Y_Encodeur,Theta1_Encodeur,Theta4_Encodeur,Courant1,Courant4,Tau1,Tau4,Force1,Force4,Jacobien,Force1_Filtree,Force4_Filtree
2026-04-19 17:06:49,1,0.1,0.35,131.36,27.4,-4.45,-15.0,0.0589,0.3964,133.2,40.8,0.01,0.15,0.105,0.033,-0.05628169132937883,0.05500740424629096,-0.5500323554832135,-0.05628169132937883,0.05500740424629096
2026-04-19 17:06:49,2,0.0999506560365731,0.3531410759078128,131.05,27.91,-1.76,-8.44,0.0589,0.3964,133.2,40.8,0.01,0.14,0.105,0.038,-0.05017864836621198,0.06600168564902281,-0.5500323554832135,-0.052411942854042486,0.061978533886440784
2026-04-19 17:06:49,3,0.0998026728428271,0.3562790519529313,130.75,28.43,-0.12,-13.68,0.0667,0.4002,131.4,40.2,0.0,0.49,0.107,0.136,0.12153197005130016,0.2105572736073727,0.1781250008157094,0.05788044666736564,0.15618766119760186
2026-04-19 17:06:49,4,0.099556196460308,0.3594108313318514,130.47,28.97,-1.82,-13.93,0.0685,0.398,131.4,39.6,0.0,0.38,0.106,0.081,0.0,0.0,0.1,0.021180267495334932,0.057153954990142364
2026-04-19 17:06:49,5,0.0992114701314478,0.3625333233564304,130.2,29.52,-1.98,-12.95,0.0737,0.3912,131.4,37.8,0.03,0.42,0.094,0.101,0.0,0.0,0.1,0.007750522965934104,0.020914421446406647
2026-04-19 17:06:49,6,0.0987688340595137,0.3656434465040231,129.95,30.08,-2.44,-13.34,0.077,0.3867,131.4,36.6,0.02,0.32,0.097,0.053,0.12932889302038078,-0.09005128414922867,1.1891584736896161,0.0848395611705649,-0.04944545847495505
2026-04-19 17:06:50,7,0.0982287250728688,0.3687381314585724,129.71,30.65,-0.97,-12.7,0.0844,0.386,130.2,35.4,0.03,0.29,0.095,0.033,-0.7261396185748448,1.2887789776794838,-0.09962189007211937,-0.42937694742842897,0.7990807607767147
2026-04-19 17:06:50,8,0.0975916761938747,0.3718143241396542,129.49,31.23,-2.22,-10.99,0.0892,0.3789,130.2,33.6,0.01,0.18,0.102,0.017,0.0,0.0,0.1,-0.15712246754294798,0.29240866714266617
2026-04-19 17:06:50,9,0.0968583161128631,0.3748689887164854,129.28,31.83,-2.36,-11.2,0.0907,0.3766,130.2,33.0,0.03,0.22,0.093,0.001,0.002382856950737507,0.18873046437787977,0.2756563924088093,-0.055985134905331906,0.22666956461692248
2026-04-19 17:06:50,10,0.0960293685676943,0.3778991106039229,129.08,32.43,-1.75,-10.23,0.0943,0.3761,129.6,32.4,0.02,0.08,0.1,0.069,-0.14886518809435592,0.11019050886273572,0.6652367852342278,-0.11487746884211952,0.15281384196615305
2026-04-19 17:06:50,11,0.0951056516295153,0.3809016994374947,128.91,33.04,-2.47,-10.11,0.0943,0.3761,129.6,32.4,0.0,0.09,0.107,0.064,-0.14634099900165812,0.1182483205827863,0.6652367852342278,-0.13482750828939136,0.1308969269977089
2026-04-19 17:06:50,12,0.0940880768954225,0.3838737920245291,128.74,33.66,-2.64,-9.36,0.0943,0.3761,129.6,32.4,0.0,0.03,0.107,0.092,-0.18321313158156413,0.11726710687063428,0.6652367852342278,-0.16550731721309025,0.12225468476310944
2026-04-19 17:06:50,13,0.0929776485888251,0.3868124552684677,128.59,34.29,-1.98,-8.62,0.0964,0.3781,129.0,32.4,0.03,0.07,0.096,0.074,0.4797818098261135,-0.44933329673680683,-0.10566313894817317,0.24365031621365144,-0.24017135963460667
